Municipio,Número de  Vacas en Ordeño,Producción  diaria (Litros),Producción Promedio Vaca dia (Litros),Participación en la Producción  Diaria de Leche  (%),Precio promedio en finca ($/lt),Año
Cali,1586,17249,11,1.94,1000,2016
Alcalá,1918,20977,11,2.36,850,2016
Andalucia,1017,9872,10,1.11,900,2016
Ansermanuevo,3535,25712,7,2.9,892,2016
Argelia,770,6928,9,0.78,900,2016
Bolivar,2931,23270,8,2.62,867,2016
Buenaventura,34,102,3,0.01,1000,2016
Buga,3632,37179,10,4.19,921,2016
Bugalagrande,3553,33612,9,3.79,958,2016
Caicedonia,1185,17091,14,1.93,1034,2016
Calima Darién,1626,34750,21,3.92,938,2016
Candelaria,577,6150,11,0.69,1017,2016
Cartago,4249,34801,8,3.92,908,2016
Dagua,1455,13692,9,1.54,879,2016
El Aguila,856,6984,8,0.79,900,2016
El Cairo,1287,13800,11,1.56,850,2016
El Cerrito,2103,27880,13,3.14,883,2016
El Dovio,3882,58972,15,6.65,938,2016
Florida,1141,17559,15,1.98,1192,2016
Ginebra,1431,20517,14,2.31,860,2016
Guacarí,836,9609,11,1.08,679,2016
Jamundì,1440,8216,6,0.93,942,2016
La Cumbre,1147,15532,14,1.75,1000,2016
La Unión,1201,12980,11,1.46,867,2016
La Victoria,3429,17455,5,1.97,850,2016
Obando,2519,16928,7,1.91,774,2016
Palmira,4602,65958,14,7.43,850,2016
Pradera,1164,21264,18,2.4,850,2016
Restrepo,1654,10667,6,1.2,950,2016
Riofrio,1623,16587,10,1.87,863,2016
Roldanillo,1826,12430,7,1.4,1508,2016
San Pedro,1846,12697,7,1.43,850,2016
Sevilla,2884,23772,8,2.68,846,2016
Toro,2010,23242,12,2.62,752,2016
Trujillo,1676,10397,6,1.17,967,2016
Tuluá,7320,90201,12,10.17,932,2016
Ulloa,745,9481,13,1.07,963,2016
Versalles,2355,20552,9,2.32,853,2016
Vijes,718,7290,10,0.82,1000,2016
Yotoco,2311,22808,10,2.57,1200,2016
Yumbo,547,3356,6,0.38,871,2016
Zarzal,2924,28622,10,3.23,825,2016
